Posted On,BHK,Rent,Size,Floor,Area Type,Area Locality,City,Furnishing Status,Tenant Preferred,Bathroom,Point of Contact,Total_Floors
18-05-2022,2,10000,1100,Ground ,Super Area,Bandel,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,2
13-05-2022,2,20000,800,1,Super Area,"Phool Bagan, Kankurgachi",Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,3
16-05-2022,2,17000,1000,1,Super Area,Salt Lake City Sector 2,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,3
04-07-2022,2,10000,800,1,Super Area,Dumdum Park,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,2
09-05-2022,2,7500,850,1,Carpet Area,South Dum Dum,Kolkata,Unfurnished,Bachelors,1,Contact Owner,2
29-04-2022,2,7000,600,Ground ,Super Area,Thakurpukur,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,1
21-06-2022,2,10000,700,Ground ,Super Area,Malancha,Kolkata,Unfurnished,Bachelors,2,Contact Agent,4
21-06-2022,1,5000,250,1,Super Area,Malancha,Kolkata,Unfurnished,Bachelors,1,Contact Agent,2
07-06-2022,2,26000,800,1,Carpet Area,"Palm Avenue Kolkata, Ballygunge",Kolkata,Unfurnished,Bachelors,2,Contact Agent,2
20-06-2022,2,10000,1000,1,Carpet Area,Natunhat,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner,3
23-05-2022,3,25000,1200,1,Carpet Area,"Action Area 1, Rajarhat Newtown",Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Agent,4
07-06-2022,1,5000,400,1,Carpet Area,Keshtopur,Kolkata,Unfurnished,Bachelors/Family,1,Contact Agent,1
14-05-2022,1,6500,250,1,Carpet Area,"Tarulia, Keshtopur",Kolkata,Furnished,Bachelors,1,Contact Owner,4
09-05-2022,1,5500,375,1,Carpet Area,Dum Dum Metro,Kolkata,Unfurnished,Bachelors/Family,1,Contact Agent,2
05-05-2022,3,8500,900,Ground ,Carpet Area,Paschim Barisha,Kolkata,Unfurnished,Bachelors,2,Contact Owner,2
01-06-2022,3,40000,1286,1,Carpet Area,New Town Action Area 1,Kolkata,Furnished,Bachelors/Family,2,Contact Owner,1
17-05-2022,2,6000,600,1,Super Area,Barasat,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,2
20-06-2022,2,10000,800,Ground ,Super Area,Behala,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,2
09-06-2022,2,11000,2000,Ground ,Carpet Area,Behala Chowrasta,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,3
09-06-2022,2,6000,660,1,Super Area,Behala,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,2
02-07-2022,2,7900,650,1,Carpet Area,Santoshpur,Kolkata,Unfurnished,Family,1,Contact Owner,2
14-06-2022,2,9000,400,2,Carpet Area,"Garia Station, Garia",Kolkata,Unfurnished,Bachelors,2,Contact Owner,3
15-06-2022,1,4000,300,Ground ,Carpet Area,"Garia Station, Garia",Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,4
15-06-2022,3,6500,1600,Ground ,Super Area,Joka,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,2
28-05-2022,1,8000,400,1,Super Area,Sreebhumi,Kolkata,Semi-Furnished,Bachelors,1,Contact Agent,2
22-05-2022,2,7000,1000,1,Super Area,Rajarhat,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,1
18-06-2022,1,5300,355,1,Carpet Area,Dum Dum,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Agent,1
25-06-2022,2,6000,1000,Ground ,Super Area,"Kodalia, Hooghly-Chinsurah",Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,3
22-06-2022,2,8500,800,4,Super Area,Baguiati,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,5
25-06-2022,2,12500,850,Ground ,Super Area,"Rabindra Sarobar Area, Dhakuria",Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,2
21-05-2022,1,7500,350,Ground ,Carpet Area,Baghajatin,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,2
26-06-2022,2,15000,900,Ground ,Carpet Area,"Project Kaikhali, Vip Road",Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,2
16-06-2022,2,6000,550,1,Super Area,Vip Road,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,1
29-06-2022,2,5000,500,Ground ,Carpet Area,Baruipur,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,2
10-05-2022,3,22000,1100,2,Carpet Area,Dumdum Park,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,3
12-05-2022,2,15000,850,1,Carpet Area,Sreebhumi,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,2
03-06-2022,2,12500,800,2,Carpet Area,Shyam Bazar,Kolkata,Unfurnished,Bachelors,1,Contact Agent,2
31-05-2022,2,7000,630,Ground ,Carpet Area,Birati,Kolkata,Unfurnished,Bachelors,1,Contact Owner,3
10-06-2022,2,21000,900,1,Carpet Area,Bansdroni,Kolkata,Semi-Furnished,Bachelors,2,Contact Owner,2
24-06-2022,1,10000,270,1,Carpet Area,Jadavpur University,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,2
29-06-2022,2,7200,630,Ground ,Carpet Area,Birati,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,1
12-05-2022,3,12000,1500,Ground ,Carpet Area,Bhadrakali,Kolkata,Furnished,Bachelors,2,Contact Owner,2
26-06-2022,1,5000,600,2,Super Area,Behala,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,5
30-04-2022,2,8500,700,4,Carpet Area,Baruipur,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,14
27-05-2022,1,6000,300,Ground ,Super Area,Ballygunge,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,3
06-06-2022,2,10000,1300,Ground ,Super Area,Kalikapur,Kolkata,Semi-Furnished,Family,2,Contact Owner,1
20-05-2022,2,4600,400,3,Carpet Area,Behala,Kolkata,Semi-Furnished,Bachelors,1,Contact Owner,3
02-07-2022,2,12000,650,Ground ,Super Area,"Baishnabghata Patuli Township, Patuli",Kolkata,Unfurnished,Family,2,Contact Owner,1
26-05-2022,3,30000,2000,Ground ,Super Area,Behala,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner,2
12-05-2022,3,15000,1068,Ground ,Super Area,Bansdroni,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner,3
22-06-2022,1,7500,150,1,Super Area,Salt Lake City,Kolkata,Furnished,Bachelors/Family,1,Contact Owner,1
25-06-2022,1,7500,450,2,Carpet Area,New Town,Kolkata,Unfurnished,Bachelors,1,Contact Owner,2
03-07-2022,2,5000,800,Ground ,Carpet Area,Baruipur,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,1
23-04-2022,2,15000,1000,Ground ,Super Area,Bansdroni,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,2
14-05-2022,2,11000,900,5,Super Area,Pancha Sayar,Kolkata,Semi-Furnished,Bachelors,1,Contact Owner,5
27-05-2022,1,7000,600,Ground ,Carpet Area,Behala,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,2
19-06-2022,2,6000,1200,1,Super Area,Hooghly-Chinsurah,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,1
19-06-2022,2,6000,1200,2,Super Area,Hooghly-Chinsurah,Kolkata,Semi-Furnished,Bachelors,2,Contact Owner,2
02-07-2022,2,7000,650,Ground ,Super Area,"Amtala, Diamond Harbour Road",Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner,3
06-07-2022,2,8500,720,4,Carpet Area,"Shrachi Village, Madhyam Gram",Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner,4
02-07-2022,1,5000,300,1,Carpet Area,Kasba,Kolkata,Unfurnished,Bachelors,1,Contact Owner,3
21-06-2022,3,30000,1200,Ground ,Carpet Area,VIP Road Haldiram,Kolkata,Unfurnished,Bachelors/Family,3,Contact Agent,2
04-06-2022,2,10000,700,7,Carpet Area,Sarsuna,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,8
24-06-2022,3,30000,2000,1,Super Area,Naihati,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner,3
14-05-2022,1,3500,250,Ground ,Super Area,Baksara,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,4
26-06-2022,2,8000,1100,Ground ,Carpet Area,Naihati,Kolkata,Unfurnished,Bachelors,1,Contact Owner,3
02-07-2022,1,5000,300,Ground ,Carpet Area,Kasba,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,2
05-05-2022,2,7500,600,Ground ,Super Area,"Amtala, Diamond Harbour Road",Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,2
18-05-2022,2,6500,800,Ground ,Carpet Area,"Chak Thakurani, Thakurpukur",Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,2
07-06-2022,1,7500,680,1,Super Area,Jadavpur,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,3
07-06-2022,1,7500,680,Ground ,Super Area,Jadavpur,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,2
26-06-2022,2,16000,850,1,Carpet Area,Salt Lake City Sector 1,Kolkata,Semi-Furnished,Bachelors,1,Contact Agent,4
26-06-2022,2,16000,850,1,Carpet Area,Salt Lake City Sector 1,Kolkata,Semi-Furnished,Bachelors,1,Contact Agent,2
30-05-2022,2,6500,700,Ground ,Super Area,Bandel,Kolkata,Unfurnished,Bachelors,1,Contact Owner,2
22-05-2022,3,40000,1500,Ground ,Super Area,Beliaghata,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,2
18-06-2022,2,12500,950,1,Super Area,"Magnolia Prestige, Rajarhat",Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner,4
08-06-2022,2,5500,500,Ground ,Super Area,"Baishnabghata Patuli Township, Patuli",Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,2
25-06-2022,1,5000,450,2,Carpet Area,"Dum Dum Heights, Jessore Road",Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,4
03-05-2022,2,6500,700,Ground ,Super Area,Sonarpur,Kolkata,Unfurnished,Bachelors,1,Contact Owner,2
12-05-2022,1,8000,500,1,Super Area,Lake Town,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,2
01-06-2022,3,14500,1800,Ground ,Super Area,Belghoria,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner,2
23-05-2022,1,8200,500,1,Carpet Area,"Rabindra Pally, Keshtopur",Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,3
23-05-2022,2,15000,480,Ground ,Carpet Area,shukhobrishti,Kolkata,Furnished,Bachelors/Family,2,Contact Owner,3
21-06-2022,6,20000,1000,1,Super Area,Sonarpur,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner,1
22-06-2022,2,6700,800,1,Super Area,"Baishnavghata patuli , house number s-300 Kolkata 700094",Kolkata,Furnished,Bachelors/Family,1,Contact Owner,2
27-05-2022,1,10000,435,2,Super Area,Kasba,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,3
07-05-2022,2,7000,700,Ground ,Carpet Area,Dum Dum Metro,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Agent,2
25-06-2022,2,22000,800,4,Super Area,"Hazra, Kalighat",Kolkata,Furnished,Bachelors/Family,1,Contact Agent,4
27-06-2022,2,6500,450,1,Super Area,Ajoy Nagar,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,3
31-05-2022,2,8500,550,2,Carpet Area,Kasba -East,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Agent,3
03-06-2022,2,18000,800,Ground ,Carpet Area,Salt Lake City,Kolkata,Unfurnished,Bachelors,2,Contact Agent,4
27-06-2022,2,12000,550,Ground ,Carpet Area,Baghajatin,Kolkata,Semi-Furnished,Family,2,Contact Owner,2
15-05-2022,1,9000,600,2,Super Area,Behala,Kolkata,Furnished,Bachelors/Family,1,Contact Owner,4
09-06-2022,1,6000,500,Ground ,Super Area,"New Garia, Garia",Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,1
28-04-2022,2,20000,1000,1,Super Area,Anandapur,Kolkata,Furnished,Bachelors/Family,2,Contact Owner,2
23-05-2022,1,5000,300,1,Carpet Area,Dum Dum Metro,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,2
28-06-2022,2,12000,1200,1,Super Area,Boral,Kolkata,Furnished,Bachelors/Family,2,Contact Owner,3
